Time,HandRight.Y,Beat
14.274,0.05,0.00
14.312,0.1,0.00
14.347,0.12,0.00
14.377,0.16,0.00
14.409,0.18,0.00
14.447,0.21,0.00
14.48,0.24,0.00
14.511,0.26,0.00
14.548,0.28,0.00
14.579,0.3,0.00
14.611,0.32,0.00
14.647,0.34,0.00
14.678,0.35,0.00
14.711,0.35,0.00
14.746,0.36,0.00
14.78,0.36,1.00
14.812,0.36,0.00
14.847,0.36,0.00
14.88,0.34,0.00
14.91,0.32,0.00
14.946,0.28,0.00
14.978,0.26,0.00
15.015,0.22,0.00
15.046,0.19,0.00
15.079,0.14,0.00
15.114,0.12,0.00
15.146,0.05,0.00
15.18,,0.00
15.213,,0.00
15.25,,0.00
15.277,-0.14,0.00
15.313,-0.13,0.00
15.346,-0.17,0.00
15.379,-0.2,0.00
15.413,-0.24,0.00
15.446,-0.26,0.00
15.482,-0.29,0.00
15.513,-0.31,0.00
15.546,-0.33,0.00
15.577,-0.34,0.00
15.614,-0.35,0.00
15.646,-0.35,1.00
15.678,-0.35,0.00
15.718,-0.34,0.00
15.747,-0.32,0.00
15.778,-0.3,0.00
15.813,-0.27,0.00
15.846,-0.24,0.00
15.882,-0.21,0.00
15.914,-0.18,0.00
15.95,-0.15,0.00
15.977,-0.12,0.00
16.014,-0.08,0.00
16.046,-0.05,0.00
16.078,-0.02,0.00
16.115,0.02,0.00
16.145,0.03,0.00
16.185,0.08,0.00
16.214,0.09,0.00
16.246,0.14,0.00
16.282,0.15,0.00
16.313,0.17,0.00
16.346,0.21,0.00
16.383,0.23,0.00
16.416,0.26,0.00
16.446,0.27,0.00
16.484,0.29,0.00
16.515,0.31,0.00
16.546,0.33,0.00
16.584,0.34,0.00
16.617,0.35,0.00
16.652,0.36,0.00
16.682,0.36,0.00
16.714,0.37,0.00
16.748,0.37,1.00
16.781,0.37,0.00
16.816,0.37,0.00
16.847,0.35,0.00
16.886,0.33,0.00
16.913,0.3,0.00
16.946,0.28,0.00
16.983,0.25,0.00
17.015,0.23,0.00
17.048,0.2,0.00
17.081,0.17,0.00
17.119,0.14,0.00
17.146,0.1,0.00
17.183,0.06,0.00
17.213,,0.00
17.246,,0.00
17.283,-0.08,0.00
17.314,-0.08,0.00
17.355,-0.1,0.00
17.382,-0.14,0.00
17.415,-0.16,0.00
17.451,-0.21,0.00
17.482,-0.23,0.00
17.519,-0.26,0.00
