Time,HipCenter.X,HipCenter.Y,HipCenter.Z,Spine.X,Spine.Y,Spine.Z,ShoulderCenter.X,ShoulderCenter.Y,ShoulderCenter.Z,Head.X,Head.Y,Head.Z,ShoulderLeft.X,ShoulderLeft.Y,ShoulderLeft.Z,ElbowLeft.X,ElbowLeft.Y,ElbowLeft.Z,WristLeft.X,WristLeft.Y,WristLeft.Z,HandLeft.X,HandLeft.Y,HandLeft.Z,ShoulderRight.X,ShoulderRight.Y,ShoulderRight.Z,ElbowRight.X,ElbowRight.Y,ElbowRight.Z,WristRight.X,WristRight.Y,WristRight.Z,HandRight.X,HandRight.Y,HandRight.Z,HipLeft.X,HipLeft.Y,HipLeft.Z,KneeLeft.X,KneeLeft.Y,KneeLeft.Z,AnkleLeft.X,AnkleLeft.Y,AnkleLeft.Z,FootLeft.X,FootLeft.Y,FootLeft.Z,HipRight.X,HipRight.Y,HipRight.Z,KneeRight.X,KneeRight.Y,KneeRight.Z,AnkleRight.X,AnkleRight.Y,AnkleRight.Z,FootRight.X,FootRight.Y,FootRight.Z
0.331,0.1233661,0.2961789,1.528183,0.1324696,0.3431063,1.51719,0.1719928,0.5649791,1.470328,,,,-0.0651773,0.5697243,1.559434,-0.2130843,0.5565609,1.596819,-0.1991109,0.4024526,1.436017,-0.1961515,0.3503844,1.397874,0.2864913,0.5515264,1.550177,0.4229465,0.6299061,1.637249,0.3509652,0.4740005,1.496187,,,,0.03231999,0.2184328,1.541789,0.01304636,-0.2176341,1.670994,0.02655409,-0.6251462,1.792353,0.0253919,-0.6791134,1.734429,0.1916062,0.2104283,1.544611,0.2223484,-0.2306479,1.692231,0.227929,-0.6358217,1.796329,0.2259598,-0.6880563,1.73686
0.365,0.1212548,0.2963848,1.530295,0.129853,0.3431737,1.519071,0.1675375,0.5686001,1.472537,,,,-0.06904887,0.5751233,1.568669,-0.2057908,0.5642408,1.627395,-0.2070912,0.4101907,1.467861,-0.2030395,0.3645047,1.422149,0.2880679,0.5533237,1.55867,0.4151439,0.6580066,1.663708,0.3527949,0.4968735,1.526346,,,,0.02882597,0.2192297,1.54483,0.01012865,-0.2244238,1.679716,0.01953677,-0.6360089,1.814402,0.01770304,-0.6920591,1.756757,0.1898037,0.21113,1.545847,0.218648,-0.2305762,1.690806,0.2173771,-0.6350004,1.795463,0.214459,-0.6880645,1.7351
0.396,0.1143815,0.289616,1.536698,0.1222829,0.337297,1.525056,0.1589089,0.5707461,1.478132,,,,-0.06907781,0.5775198,1.57169,-0.1996477,0.569598,1.644217,-0.2148393,0.4044369,1.49356,-0.218991,0.3577768,1.448658,0.269106,0.5535569,1.561506,,,,0.3352014,0.4970205,1.555749,,,,0.02670145,0.2168393,1.549288,0.006301158,-0.2330857,1.684112,0.01447515,-0.6433036,1.83742,0.01229286,-0.7004988,1.782776,0.1820447,0.210016,1.548685,0.2135374,-0.234489,1.685303,0.2088862,-0.6319236,1.793279,0.2053957,-0.6846529,1.734377
0.43,0.1539393,0.310911,1.578727,0.1645554,0.3448914,1.609584,0.2663899,0.5146247,1.599023,,,,-0.06961098,0.5781505,1.572399,-0.1851897,0.5369896,1.653274,-0.2165175,0.37609,1.503401,-0.2267596,0.3231196,1.466814,0.3609065,0.5992373,1.690601,,,,,,,,,,0.02257654,0.2199583,1.556241,0.001559582,-0.2434968,1.682742,0.008684054,-0.650862,1.851947,0.03077033,-0.7111213,1.803364,0.1911265,0.2207736,1.558604,0.20734,-0.2531551,1.675171,0.1988037,-0.62411,1.786072,0.21819,-0.678726,1.730209
0.464,0.1465992,0.302292,1.587269,0.1570761,0.3353807,1.621088,0.2685585,0.5342048,1.64883,,,,-0.07163645,0.5781451,1.570894,-0.1841299,0.5051421,1.669251,-0.2170756,0.3366151,1.525516,-0.2272558,0.2795707,1.494773,0.3750726,0.4698688,1.702565,,,,0.3580417,0.4908786,1.639606,0.3401193,0.4319264,1.601455,0.004291975,0.214177,1.567597,-0.006171997,-0.279464,1.68321,0.004520115,-0.6627001,1.86401,0.03129148,-0.7298029,1.829654,0.1898957,0.2096685,1.563142,0.2011842,-0.266894,1.664931,0.1905614,-0.6240664,1.775801,0.2131672,-0.6823773,1.725914
0.497,0.1443169,0.3014112,1.601525,0.1540021,0.3311601,1.638984,0.2671571,0.5014121,1.664563,,,,-0.1043438,0.5755824,1.586723,-0.169563,0.4233094,1.710069,-0.2068127,0.2716142,1.545802,-0.2174047,0.2184377,1.508022,0.3680794,0.4347716,1.732137,0.3151466,0.6051675,1.587435,0.3045042,0.3882924,1.546449,,,,-0.005581347,0.2160865,1.577032,-0.01027559,-0.295929,1.681017,0.0007477871,-0.6657559,1.867956,0.02967963,-0.7361077,1.838578,0.1867929,0.2059596,1.571525,0.1986342,-0.2820675,1.65352,0.1788855,-0.6241772,1.746227,0.2016083,-0.6819155,1.693317
0.528,0.07789557,0.2743829,1.586909,0.07840303,0.3297493,1.603007,0.06555566,0.5773134,1.525672,,,,-0.1014995,0.5712797,1.582697,-0.1512926,0.3997036,1.70035,-0.1874539,0.2152832,1.565001,-0.2030503,0.1166406,1.489826,0.2378116,0.5569214,1.554538,0.3297814,0.4244156,1.69214,0.3001395,0.2300959,1.570862,,,,0.000523999,0.203322,1.594489,-0.01803676,-0.3178883,1.678918,-0.002949636,-0.6738864,1.864584,-0.007719828,-0.7395817,1.81744,0.1654426,0.2039788,1.589599,0.1941311,-0.2900913,1.646223,0.1640308,-0.6206377,1.689498,0.1647285,-0.6756163,1.730938
0.576,0.07297146,0.1988015,1.615378,0.07695594,0.2678706,1.623528,0.07250784,0.5788596,1.525646,,,,-0.08852239,0.4875468,1.586497,-0.1377479,0.3066925,1.702786,-0.1658731,0.1156974,1.563556,-0.168976,-0.00924067,1.492531,0.22757,0.4833724,1.560542,0.3221658,0.3334912,1.689806,0.2918205,0.1243514,1.583474,0.2942261,0.06761147,1.549016,-0.002948449,0.1284028,1.636732,-0.02729329,-0.3447111,1.685863,-0.01100949,-0.7086744,1.834835,,,,0.1448863,0.1295011,1.623347,0.1870883,-0.3004997,1.64512,,,,,,
0.597,0.06275388,0.1102991,1.641344,0.06442074,0.1744662,1.644344,0.05084953,0.4589755,1.538221,,,,-0.1151445,0.3837557,1.615442,-0.1393276,0.2133208,1.732413,-0.1488177,0.02352504,1.581819,-0.1503663,-0.07197687,1.504246,0.2245194,0.3700618,1.563666,0.316098,0.2159424,1.696349,0.2728721,0.005058452,1.588955,0.2769954,-0.05713277,1.571507,-0.01142178,0.03736816,1.673138,-0.03939226,-0.4084041,1.706621,,,,,,,0.1420325,0.03376391,1.649206,0.1622119,-0.3656795,1.65094,,,,,,
0.628,0.05756132,0.04262107,1.652619,0.06086399,0.1073385,1.651736,0.0509864,0.3967213,1.541508,0.02020249,0.5747323,1.486001,-0.120636,0.3162453,1.633615,-0.1225631,0.103754,1.72896,-0.1319398,-0.09845124,1.58495,-0.1157437,-0.1826912,1.523974,0.2190363,0.2979998,1.563518,0.3005307,0.1240701,1.690133,0.2904376,-0.08139373,1.689997,0.2622921,-0.1353067,1.626796,-0.01913633,-0.03079679,1.68769,-0.04298868,-0.4571378,1.715216,,,,,,,0.1370323,-0.03331975,1.659871,0.1638857,-0.430029,1.666079,,,,,,
