Time,HipCenter.X,HipCenter.Y,HipCenter.Z,Spine.X,Spine.Y,Spine.Z,ShoulderCenter.X,ShoulderCenter.Y,ShoulderCenter.Z,Head.X,Head.Y,Head.Z,ShoulderLeft.X,ShoulderLeft.Y,ShoulderLeft.Z,ElbowLeft.X,ElbowLeft.Y,ElbowLeft.Z,WristLeft.X,WristLeft.Y,WristLeft.Z,HandLeft.X,HandLeft.Y,HandLeft.Z,ShoulderRight.X,ShoulderRight.Y,ShoulderRight.Z,ElbowRight.X,ElbowRight.Y,ElbowRight.Z,WristRight.X,WristRight.Y,WristRight.Z,HandRight.X,HandRight.Y,HandRight.Z,HipLeft.X,HipLeft.Y,HipLeft.Z,KneeLeft.X,KneeLeft.Y,KneeLeft.Z,AnkleLeft.X,AnkleLeft.Y,AnkleLeft.Z,FootLeft.X,FootLeft.Y,FootLeft.Z,HipRight.X,HipRight.Y,HipRight.Z,KneeRight.X,KneeRight.Y,KneeRight.Z,AnkleRight.X,AnkleRight.Y,AnkleRight.Z,FootRight.X,FootRight.Y,FootRight.Z
0.33,-0.005535958,0.1487848,1.784362,-0.003673569,0.2146701,1.778085,0.006316809,0.5445641,1.762497,-0.05529012,0.6483853,1.615589,-0.1700607,0.477701,1.85429,,,,,,,,,,0.1709512,0.4375603,1.756005,,,,,,,,,,-0.083617,0.07452255,1.805824,-0.08156795,-0.401454,1.920122,-0.02345625,-0.7525994,2.078897,,,,0.06814052,0.06423196,1.767908,0.09179199,-0.3951236,1.831774,0.07339035,-0.7428383,1.993238,,,
0.366,-0.002786636,0.148207,1.788545,-0.0007279834,0.2141933,1.782643,0.009976635,0.5445663,1.768942,-0.05292206,0.6517667,1.623811,-0.1652168,0.4780481,1.859947,,,,,,,,,,0.1748002,0.4387898,1.764234,,,,,,,,,,-0.08077419,0.07362323,1.808606,-0.0810207,-0.4081164,1.924144,-0.02109845,-0.7653142,2.085706,,,,0.07025935,0.06477489,1.772246,0.09788187,-0.4039305,1.854943,0.07528196,-0.7481991,2.008946,,,
0.397,-0.0002519847,0.1474765,1.792763,0.001799459,0.2138157,1.787156,0.01239523,0.5461172,1.775288,-0.05083078,0.6557147,1.631055,-0.1594734,0.4808164,1.865859,,,,,,,,,,0.177057,0.4396416,1.770239,,,,,,,,,,-0.07766551,0.072825,1.81215,-0.08087638,-0.4151458,1.926932,-0.02033294,-0.7767498,2.089903,,,,0.07218634,0.06503712,1.775963,0.09715322,-0.4160129,1.881926,0.07587269,-0.752682,2.020086,,,
0.429,0.001344549,0.1472509,1.796533,0.003677952,0.2139668,1.791352,0.0159563,0.5486717,1.781915,-0.04848317,0.6595318,1.637877,-0.1548747,0.481335,1.870851,,,,,,,,,,0.1801989,0.4416563,1.776466,,,,,,,,,,-0.0762232,0.07268926,1.814838,-0.08092055,-0.4155355,1.927121,-0.02013421,-0.7813202,2.090587,,,,0.07338014,0.06556479,1.779761,0.09641501,-0.4189411,1.890294,0.07679392,-0.7570949,2.029328,,,
0.461,0.002438977,0.1493298,1.802078,0.005097662,0.2162829,1.797039,0.01883684,0.5517205,1.787708,-0.04749785,0.6631274,1.643679,-0.1514038,0.482384,1.875622,,,,,,,,,,0.1846384,0.4472344,1.783654,,,,,,,,,,-0.07563388,0.07473581,1.819587,-0.08118279,-0.4123635,1.922101,-0.01949406,-0.7831447,2.082953,,,,0.07437156,0.06817152,1.785884,0.09650496,-0.4200321,1.894105,0.07650033,-0.7595621,2.03204,,,
0.499,0.002680195,0.1528583,1.809792,0.005722559,0.2198914,1.804407,0.02106025,0.5554605,1.793408,-0.04630196,0.6679291,1.649846,-0.148368,0.4848001,1.881995,,,,,,,,,,0.1874597,0.4501814,1.787582,,,,,,,,,,-0.07622422,0.07916179,1.828557,-0.08189598,-0.4085302,1.914265,-0.02792826,-0.751933,2.041108,-0.07664846,-0.6807048,2.008942,0.07446657,0.0708385,1.79293,0.09614211,-0.420619,1.895471,0.07712428,-0.7546871,2.031063,,,
0.53,0.002209312,0.1556906,1.818225,0.005831987,0.2227445,1.81208,0.02352059,0.5583652,1.798108,-0.04492337,0.6707401,1.654172,-0.1456348,0.4872656,1.88724,,,,,,,,,,0.1897379,0.4534448,1.790224,,,,,,,,,,-0.07769921,0.08312894,1.838408,-0.08414316,-0.4046264,1.906269,-0.0288569,-0.7504503,2.037268,0.02754695,-0.8190528,2.077709,0.07354524,0.0729677,1.801772,0.09585512,-0.4197642,1.894725,0.07615396,-0.7587405,2.032498,,,
0.561,0.002750757,0.1572424,1.825728,0.006681042,0.224437,1.818814,0.02565617,0.5604612,1.80144,-0.04409579,0.674477,1.658401,-0.143109,0.4892613,1.892232,,,,,,,,,,0.1909209,0.4545361,1.792111,0.231184,0.1882935,1.813801,0.1855727,-0.03378256,1.707663,0.1472481,-0.1116924,1.653023,-0.077287,0.08539414,1.847666,-0.08437873,-0.4014016,1.89955,-0.03088485,-0.751241,2.031609,-0.06292294,-0.835146,2.047731,0.07355464,0.07398598,1.809262,0.09797616,-0.4169199,1.890245,0.07557879,-0.7587347,2.032382,,,
0.6,0.002619712,0.1579876,1.832671,0.0068242,0.225162,1.824866,0.02672493,0.560994,1.803519,-0.04323753,0.6777351,1.661871,-0.1404818,0.4902725,1.897058,,,,,,,,,,0.1919205,0.4557721,1.794225,0.2351109,0.2058345,1.817389,0.1807513,-0.005784571,1.695057,0.1383519,-0.07380568,1.631203,-0.07766142,0.08736705,1.856232,-0.08735498,-0.3968102,1.891781,-0.05467103,-0.7398009,2.008886,,,,0.07304608,0.07407176,1.816613,0.09641521,-0.4100047,1.883211,0.07666322,-0.7532063,2.029501,,,
0.631,0.002138656,0.1577881,1.840328,0.006647229,0.2250613,1.831707,0.02777789,0.5612225,1.806181,-0.04233517,0.6817084,1.6667,-0.1380509,0.4910021,1.899496,,,,,,,,,,0.192416,0.4563286,1.796153,0.2355739,0.2095415,1.816958,0.1745682,0.0154433,1.670288,0.1321697,-0.04651225,1.600689,-0.07837583,0.08829862,1.865879,-0.09293891,-0.3913497,1.883104,-0.06547406,-0.7362079,2.00373,,,,0.07219929,0.07358649,1.823958,0.09549707,-0.4076566,1.881311,0.07719586,-0.751829,2.028635,,,
0.667,0.0007967361,0.1585034,1.84768,0.005717303,0.2258999,1.838865,0.02915561,0.5626277,1.811502,-0.04086183,0.6843695,1.672567,-0.1364196,0.4915479,1.9021,,,,,,,,,,0.1927461,0.4571107,1.798866,0.2344002,0.2103814,1.815156,0.1703761,0.03700556,1.645083,0.1279913,-0.01371508,1.567061,-0.07975337,0.08947722,1.873581,-0.09966923,-0.3870084,1.877256,-0.08546604,-0.7327074,2.001556,-0.1141302,-0.8112601,1.933914,0.07005575,0.07432818,1.83124,0.09671593,-0.4062513,1.881069,0.07774366,-0.750324,2.028189,,,
0.698,-0.001512875,0.1601425,1.854948,0.003884244,0.2275789,1.845888,0.02980706,0.564544,1.816999,-0.04163167,0.6864766,1.678789,-0.1361278,0.493095,1.907567,,,,,,,,,,0.1927518,0.4575013,1.802002,0.2332507,0.2175768,1.80205,0.1357851,0.04893709,1.565657,0.09408454,0.00249712,1.475245,-0.08212294,0.09107882,1.881605,-0.1059457,-0.3842044,1.874665,-0.1048466,-0.7317237,2.00217,-0.136973,-0.8092777,1.935021,0.06670964,0.07559948,1.83828,0.09951973,-0.4036555,1.883064,0.07812612,-0.7497198,2.028639,,,
0.731,-0.0026725,0.1628075,1.859698,0.00295542,0.2302512,1.850809,0.03047683,0.5673208,1.822531,-0.04165458,0.6910021,1.685822,-0.1377261,0.4950216,1.91424,,,,,,,,,,0.1935405,0.4574642,1.805936,0.2288924,0.2210151,1.778107,0.1615802,0.09271118,1.575604,0.08841298,0.05360812,1.431553,-0.08379297,0.09219135,1.886442,-0.112687,-0.3846249,1.874286,-0.127115,-0.7306721,2.006154,-0.1630444,-0.8074102,1.940071,0.0655427,0.07805739,1.842262,0.1026653,-0.4011091,1.887214,0.07872966,-0.7503763,2.030288,,,
0.766,-0.005365439,0.1663509,1.866158,0.0002191055,0.2341473,1.857579,0.02787778,0.5731583,1.830606,-0.04099909,0.6925792,1.689467,-0.1405248,0.496609,1.919445,,,,,,,,,,0.1930747,0.4581306,1.809641,0.2258686,0.2234887,1.764662,0.162756,0.1030838,1.556813,0.08207902,0.1005652,1.395441,-0.08597822,0.09402788,1.89228,-0.12249,-0.3847673,1.87866,-0.1470979,-0.7349268,2.015198,-0.1853007,-0.81106,1.949605,0.0623448,0.08179338,1.84871,0.1052282,-0.3989118,1.89267,0.0793139,-0.7517548,2.034114,,,
