Beat,BeatPortion,HandRight.Y,Time
0,0.3499245852187044,0.14,11.743
0,0.39517345399698395,0.08,11.773
0,0.45852187028657637,0.02,11.815
0,0.5007541478129722,-0.02,11.843
0,0.5475113122171964,-0.08,11.874
0,0.6048265460030188,-0.14,11.912
0,0.6515837104072402,-0.17,11.943
0,0.6983408748114642,-0.2,11.974
0,0.7526395173454002,-0.29,12.01
0,0.7993966817496243,-0.33,12.041
0,0.8521870286576185,-0.29,12.076
0,0.9034690799396681,-0.31,12.11
0,0.951734539969834,-0.38,12.142
1,0.0,-0.38,12.174
0,0.04811443433030013,-0.38,12.211
0,0.0897269180754237,-0.35,12.243
0,0.13133940182054726,-0.31,12.275
0,0.1781534460338107,-0.27,12.311
0,0.21846553966189988,-0.21,12.342
0,0.26397919375812895,-0.17,12.377
0,0.3081924577373213,-0.12,12.411
0,0.34980494148244484,-0.06,12.443
0,0.3914174252275684,-0.02,12.475
0,0.4447334200260084,0.01,12.516
0,0.47854356306892104,0.07,12.542
0,0.5240572171651501,0.1,12.577
0,0.566970091027308,0.14,12.61
0,0.6085825747724316,0.18,12.642
0,0.6618985695708716,0.21,12.683
0,0.6957087126137842,0.24,12.709
0,0.7386215864759444,0.27,12.742
0,0.7854356306892079,0.29,12.778
0,0.8296488946684003,0.31,12.812
0,0.8699609882964894,0.33,12.843
0,0.9167750325097529,0.34,12.879
0,0.9609882964889476,0.35,12.913
1,0.0,0.35,12.943
0,0.04904306220095736,0.35,12.984
0,0.08253588516746509,0.35,13.012
0,0.11842105263157915,0.34,13.042
0,0.1638755980861249,0.32,13.08
0,0.2021531100478474,0.29,13.112
0,0.2452153110047847,0.26,13.148
0,0.28110047846890085,0.23,13.178
0,0.32057416267942657,0.19,13.211
0,0.3516746411483258,0.16,13.237
0,0.3947368421052631,0.1,13.273
0,0.43421052631578877,0.03,13.306
0,0.4724880382775113,0.01,13.338
0,0.5215311004784686,-0.04,13.379
0,0.558612440191388,-0.11,13.41
0,0.5968899521531105,-0.09,13.442
0,0.6411483253588509,-0.13,13.479
0,0.6782296650717703,-0.18,13.51
0,0.7165071770334928,-0.21,13.542
0,0.7595693779904301,-0.25,13.578
0,0.7990430622009579,-0.27,13.611
0,0.834928229665072,-0.3,13.641
0,0.8803827751196177,-0.32,13.679
0,0.917464114832537,-0.34,13.71
0,0.9569377990430628,-0.35,13.743
1,0.0,-0.35,13.779
0,0.03096903096903157,-0.35,13.81
0,0.07392607392607381,-0.34,13.853
0,0.10089910089910183,-0.33,13.88
0,0.13186813186813162,-0.3,13.911
0,0.16883116883116941,-0.28,13.948
0,0.19780219780219832,-0.24,13.977
0,0.23376623376623387,-0.2,14.013
0,0.26773226773226855,-0.18,14.047
0,0.300699300699301,-0.14,14.08
0,0.3266733266733268,-0.11,14.106
0,0.36163836163836194,-0.06,14.141
0,0.39560439560439664,-0.04,14.175
0,0.42757242757242864,0.01,14.207
0,0.4635364635364642,0.04,14.243
0,0.494505494505494,0.05,14.274
0,0.5324675324675322,0.1,14.312
0,0.5674325674325673,0.12,14.347
0,0.5974025974025985,0.16,14.377
0,0.6293706293706305,0.18,14.409
0,0.6673326673326669,0.21,14.447
0,0.7002997002997012,0.24,14.48
0,0.731268731268731,0.26,14.511
0,0.7682317682317688,0.28,14.548
0,0.7992007992008003,0.3,14.579
0,0.8311688311688323,0.32,14.611
0,0.867132867132868,0.34,14.647
0,0.8981018981018996,0.35,14.678
0,0.931068931068932,0.35,14.711
0,0.9660339660339671,0.36,14.746
1,0.0,0.36,14.78
0,0.03695150115473438,0.36,14.812
0,0.07736720554272525,0.36,14.847
0,0.11547344110854649,0.34,14.88
0,0.1501154734411092,0.32,14.91
0,0.19168591224018486,0.28,14.946
0,0.22863741339491925,0.26,14.978
0,0.2713625866050818,0.22,15.015
0,0.3071593533487293,0.19,15.046
0,0.34526558891455056,0.14,15.079
0,0.3856812933025414,0.12,15.114
0,0.4226327944572758,0.05,15.146
0,0.4618937644341798,,15.18
0,0.499999999999999,,15.213
0,0.5427251732101614,,15.25
0,0.5739030023094678,-0.14,15.277
0,0.6154734411085454,-0.13,15.313
0,0.6535796766743647,-0.17,15.346
0,0.6916859122401838,-0.2,15.379
0,0.7309468822170899,-0.24,15.413
0,0.7690531177829091,-0.26,15.446
0,0.8106235565819847,-0.29,15.482
0,0.8464203233256343,-0.31,15.513
0,0.8845265588914535,-0.33,15.546
0,0.9203233256351031,-0.34,15.577
0,0.9630484988452657,-0.35,15.614
1,0.0,-0.35,15.646
0,0.02903811252268604,-0.35,15.678
0,0.06533575317604279,-0.34,15.718
0,0.09165154264972691,-0.32,15.747
0,0.11978221415607952,-0.3,15.778
0,0.1515426497277675,-0.27,15.813
0,0.18148820326678697,-0.24,15.846
0,0.21415607985480836,-0.21,15.882
0,0.2431941923774944,-0.18,15.914
0,0.2758620689655158,-0.15,15.95
0,0.30036297640653303,-0.12,15.977
0,0.33393829401088787,-0.08,16.014
0,0.36297640653357394,-0.05,16.046
0,0.39201451905625995,-0.02,16.078
0,0.4255898366606148,0.02,16.115
0,0.45281306715063396,0.03,16.145
0,0.48911070780399074,0.08,16.185
0,0.5154264972776749,0.09,16.214
0,0.5444646098003609,0.14,16.246
0,0.5771324863883839,0.15,16.282
0,0.6052631578947348,0.17,16.313
0,0.635208711433756,0.21,16.346
0,0.6687840290381108,0.23,16.383
